ID,Antecedent,Behavior,Consequence,Emotion_Tag,Context
35,"I didn’t understand a joke and everyone laughed","I pretended to laugh but felt confused","It’s okay not to get every joke. Asking for clarity helps you feel included.","Confusion","Social"
36,"My coworker criticized my idea harshly","I felt rejected and doubted my skills","Feedback can sting, but it’s only one perspective — your skills are still valuable.","Hurt","Work"
37,"Someone questioned why I needed a break","I felt judged and withdrew","Breaks are part of self-regulation. Your needs are valid even if others don’t understand.","Invalidation","Regulation"
38,"I practiced something but still made a mistake","I felt defeated","Improvement takes repetition — mistakes are part of learning, not a sign of failure.","Sadness","Skill building"
39,"People were talking too fast","I got overwhelmed and stopped listening","It’s okay to ask someone to slow down. Clear communication helps everyone.","Overwhelm","Social"
40,"I had to change plans suddenly","I got stressed and agitated","Unexpected change is hard. Taking a moment to breathe can make transitions easier.","Stress","Daily life"
41,"Someone didn’t smile back at me","I assumed they were upset with me","Not every expression reflects your worth — people have many things on their minds.","Insecurity","Social"
42,"I shared something personal and regretted it","I felt exposed","Being vulnerable is brave. It’s okay to set boundaries next time.","Regret","Emotional"
43,"A friend canceled plans last minute","I felt rejected","Plans change — it may not be about you. You still deserve connection and support.","Sadness","Social"
44,"I fidgeted during a conversation","Someone told me to ‘stop acting weird’","Your natural movements help you regulate. You don’t need to hide them.","Shame","Neurodivergent"
45,"I got overwhelmed by too much talking","I zoned out","Your brain may need breaks. It’s okay to pause and rejoin when ready.","Overwhelm","Social"
46,"Someone said I overreacted","I felt misunderstood","Your emotions are real. Explaining what triggered you can help others understand.","Invalidation","Emotional"
47,"I had trouble switching tasks","I got irritated and shut down","Transitions can be tough — using a short countdown can make it smoother.","Frustration","Daily life"
48,"Someone corrected the way I pronounced something","I felt embarrassed","It’s okay — learning pronunciation is part of communication. You’re trying your best.","Shame","Communication"
49,"I forgot what I was about to say","I panicked and apologized","Losing your train of thought happens to everyone — you don’t need to apologize for it.","Anxiety","Social"
50,"Someone misunderstood my tone","I felt guilty","Tone mismatches happen — clarifying politely helps avoid confusion.","Guilt","Social"
51,"I didn’t know how to join a group conversation","I stayed silent and pretended to look busy","Joining conversations can be tricky. Start by listening for a moment and sharing one small thought.","Anxiety","Social"
52,"Someone made a sarcastic comment I didn’t understand","I took it literally and felt embarrassed","It’s okay if sarcasm is confusing — you can always ask what they really meant.","Confusion","Communication"
53,"My friend forgot to include me in a photo","I felt invisible","It’s normal to feel hurt, but one moment doesn’t define your importance to others.","Sadness","Social"
54,"Someone praised another person but not me","I felt jealous and unworthy","Recognition isn’t a competition — your value doesn’t decrease when someone else shines.","Jealousy","Emotional"
55,"I tried something new but wasn’t good at it","I felt discouraged","Beginnings are supposed to be messy — progress comes from practice, not perfection.","Sadness","Growth"
56,"Someone spoke over me during a discussion","I felt disrespected","You deserve space to speak. Asking for your turn back is a healthy boundary.","Irritation","Social"
57,"A group made plans without inviting me","I felt unwanted","It’s painful to feel excluded. It doesn’t mean you’re not valued — sometimes plans form randomly.","Sadness","Social"
58,"I couldn’t complete a task on time","I panicked and apologized repeatedly","It’s understandable to feel stressed — focus on what you can control next.","Anxiety","Work/School"
59,"Someone asked why I think so much","I felt called out and ashamed","Thinking deeply is a strength — you don’t need to hide it.","Shame","Personal"
60,"I got overwhelmed and shut down in the middle of a conversation","I stopped responding","Shutdowns happen when your brain is overloaded — give yourself a moment to reset.","Overwhelm","Emotional"
61,"Someone said I was too sensitive","I felt invalidated","Sensitivity is not a flaw — it means you process emotions deeply. That’s a strength.","Invalidation","Emotional"
62,"I didn’t understand the assignment instructions","I felt embarrassed to ask for help","Asking questions shows responsibility — not asking creates more stress.","Guilt","School"
63,"I accidentally interrupted someone","I felt ashamed and awkward","Interruptions happen — apologizing briefly and moving on is enough.","Shame","Social"
64,"My sibling mocked something I care about","I felt hurt and angry","Your passions are valid. You don’t need anyone’s approval to enjoy them.","Hurt","Home"
65,"I had too many tasks to do at once","I froze and couldn’t start","Overwhelm can stop momentum — breaking tasks into tiny steps can help.","Overwhelm","Daily life"
66,"Someone pointed out a small mistake harshly","I felt attacked","Criticism hurts more than people realize. You can take a breath and remind yourself you’re learning.","Hurt","Work/School"
67,"I shared an idea and no one responded","I felt ignored","It’s easy to feel invisible in group settings. Your idea still matters even without instant feedback.","Sadness","Social"
68,"Someone didn’t notice the effort I put in","I felt unappreciated","Sometimes effort goes unseen, but that doesn’t mean it didn’t matter.","Disappointment","Work/School"
69,"I misunderstood someone’s tone and overreacted","I felt embarrassed","Misinterpretations happen — talking it out helps clear confusion.","Embarrassment","Communication"
70,"I didn’t know how to comfort someone who was upset","I felt awkward","Comforting others takes practice — being present is already meaningful.","Awkward","Social"
71,"People laughed at something I said unintentionally","I felt exposed","Accidental humor happens — laughing with them can ease the moment.","Shame","Social"
72,"Someone spoke negatively about something important to me","I felt defensive","Your feelings are valid — personal interests matter.","Defensive","Personal"
73,"I felt pressured to socialize when I wasn’t ready","I forced myself and got exhausted","It’s okay to choose rest. Social energy diffuses over time.","Exhaustion","Social"
74,"I tried to explain something but got lost in my words","I apologized repeatedly","Communication is hard under pressure — slowing down helps.","Anxiety","Communication"
75,"Someone didn’t like my outfit","I felt insecure","Personal style is subjective — wear what makes you feel comfortable.","Insecurity","Social"
76,"I made a joke that didn’t land","I felt awkward and wanted to hide","Awkward moments happen to everyone — humor is trial and error.","Embarrassment","Social"
77,"Someone didn’t say thank you for my help","I felt unappreciated","Helping others is kind — gratitude is nice, but not required.","Disappointment","Social"
78,"A friend replied with a very short message","I assumed they were upset","Short replies often mean busyness, not anger.","Anxiety","Social"
79,"Someone criticized the way I express emotions","I felt dismissed","Your emotional style is part of who you are. You deserve understanding.","Invalidation","Emotional"
80,"I couldn’t keep up with the group’s pace","I felt overwhelmed","Taking things at your own speed is okay — you don’t need to match others.","Overwhelm","Group activity"
81,"My routine changed suddenly","I felt anxious and irritated","Change can be hard — giving yourself time to adjust helps regulation.","Stress","Routine"
82,"Someone compared me to someone else","I felt inadequate","Comparisons ignore your unique strengths — you are not meant to be someone else.","Inadequacy","Emotional"
83,"I forgot an appointment","I felt irresponsible","Forgetfulness happens — tools like reminders can help prevent future stress.","Guilt","Daily life"
84,"Someone asked why I’m so quiet","I felt judged","Quietness isn’t a flaw — it’s a communication style.","Shame","Social"
85,"I misunderstood instructions and did it wrong","I felt like a failure","Mistakes are a sign of learning, not your worth.","Sadness","School/Work"
86,"My friend didn’t greet me today","I worried they were mad at me","People have off days — check in when you’re ready.","Anxiety","Social"
87,"Someone didn’t laugh at my humor","I felt rejected","Humor is subjective — one moment doesn’t define your personality.","Disappointment","Social"
88,"I had to speak in front of others","I felt terrified","Public speaking anxiety is common — breathing and preparation help.","Anxiety","School"
89,"I didn’t get a response after sharing something personal","I felt ignored","Responses vary — your vulnerability was still meaningful.","Sadness","Social"
90,"Someone criticized my voice or tone","I felt insecure","Your voice is part of your identity — no one has the right to shame it.","Insecurity","Self-expression"
91,"I couldn’t finish all my tasks","I felt guilty and overwhelmed","It’s okay to pace yourself — progress matters more than perfection.","Overwhelm","Work"
92,"I blanked during a conversation","I apologized nervously","It’s normal to pause — silence doesn’t mean failure.","Anxiety","Social"
93,"Someone corrected my grammar","I felt embarrassed","Corrections can sting — but they’re chances to grow.","Embarrassment","Communication"
94,"A friend didn’t react much to my accomplishments","I felt undervalued","Different people express excitement differently — your success still matters.","Disappointment","Social"
95,"Someone misunderstood my boundaries","I felt violated","Reasserting boundaries calmly is an act of self-respect.","Hurt","Relationships"
96,"I didn’t feel included in a group chat","I felt lonely","Digital spaces can be inconsistent — your worth isn’t based on notifications.","Loneliness","Social"
97,"Someone told me I'm overthinking","I felt dismissed","Your internal processing is valid. Being thoughtful is a strength.","Invalidation","Emotional"
98,"I couldn’t tell if someone was joking or serious","I felt confused and worried","Context clues help — asking for clarity is okay.","Confusion","Communication"
99,"I felt overwhelmed after a long day","I shut down emotionally","Shutdowns are signs you need rest — give yourself recovery time.","Exhaustion","Daily life"
100,"Someone forgot to thank me for my support","I felt hurt","It’s normal to want appreciation — but your kindness still mattered.","Sadness","Relationships"
101,"My friend told me I am a good friend and that made me feel valued","I smiled and felt warm inside","Feeling appreciated reinforces healthy relationships — enjoy the affirmation.","Appreciation","Positive"
102,"My teacher praised my effort on an assignment","I felt proud and motivated","Positive feedback boosts confidence — celebrate your progress.","Pride","Positive"
103,"A friend said they trust me","I felt honored and safe with them","Trust is a powerful sign of connection — it shows your reliability matters.","Trust","Positive"
104,"Someone thanked me sincerely for helping them","I felt appreciated","Appreciation signals that your actions had a real, positive impact.","Appreciation","Positive"
105,"My sibling told me they admire how hard I work","I felt proud","Admiration from loved ones reinforces your strengths — acknowledge it.","Pride","Family"
106,"My friend remembered something small about me","I felt seen and understood","Being remembered builds emotional connection — it means you matter.","Validation","Positive"
107,"Someone told me they enjoy spending time with me","I felt valued","Shared enjoyment is a strong social cue of acceptance and belonging.","Belonging","Positive"
108,"A coworker complimented my communication","I felt confident","Positive recognition shows your skills are visible to others.","Confidence","Work"
109,"My classmate said I explained something well","I felt smart and capable","Teaching others reinforces your own understanding — it’s a strength.","Pride","School"
110,"My parent told me they’re proud of me","I felt loved","Parental pride strengthens emotional security — let it sink in.","Love","Family"
111,"My friend said they look up to me","I felt respected","Being a role model means your actions have influence — that’s meaningful.","Respect","Positive"
112,"Someone said my presence makes them feel calm","I felt helpful","Your personality has a positive impact — that’s a real strength.","Purpose","Relationships"
113,"My teammate thanked me for being reliable","I felt responsible and appreciated","Reliability is a valuable trait — others notice your consistency.","Appreciation","Work"
114,"My mentor encouraged me and said I have potential","I felt hopeful","Belief from others can fuel motivation — take it as momentum.","Hope","Positive"
115,"My friend told me they feel safe sharing things with me","I felt trusted","Emotional safety is rare — it means you are a supportive person.","Trust","Relationships"
116,"Someone enjoyed a joke I made","I felt happy and confident","Positive social reactions help reinforce comfort in communication.","Joy","Social"
117,"Someone complimented my outfit","I felt confident","Small compliments boost self-esteem — it’s okay to enjoy them.","Confidence","Social"
118,"My friend checked in on me without me asking","I felt cared for","Being cared for strengthens connection — it’s a sign of mutual friendship.","Care","Relationships"
119,"A coworker said my idea was creative","I felt proud","Creativity being recognized encourages more innovation — take note of your strengths.","Pride","Work"
120,"Someone told me I inspire them","I felt meaningful","Inspiring others reflects the positive influence of your actions.","Purpose","Positive"
